epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.713,0.30783,3.17917,0.98911,0.68047,0.56507,0.65562,0.63634,0.21242,1.48156,1.07139,0.00333182,0.00333182,0.00333182
2,1057.65,0.21452,1.14807,0.92385,0.8621,0.86223,0.93181,0.92645,0.15749,0.71491,1.08328,0.0064452,0.0064452,0.0064452
3,1617.61,0.22049,1.00485,0.91952,0.83192,0.84687,0.90883,0.89715,0.15195,1.07231,1.08755,0.00933858,0.00933858,0.00933858
4,2172.56,0.19642,0.9105,0.91133,0.8594,0.87889,0.9342,0.90197,0.12896,0.61834,1.07637,0.00901,0.00901,0.00901
5,2726.04,0.16265,0.76307,0.90386,0.82879,0.93158,0.9452,0.85255,0.21624,0.52668,1.12194,0.00868,0.00868,0.00868
6,3277.54,0.14486,0.6836,0.90082,0.94081,0.94674,0.9825,0.95874,0.13605,0.41057,1.09828,0.00835,0.00835,0.00835
7,3829.37,0.13439,0.63449,0.89826,0.64541,0.8837,0.84626,0.64102,0.45532,1.4407,1.21076,0.00802,0.00802,0.00802
8,5410.67,0.12575,0.59213,0.89628,0.54056,0.85328,0.7604,0.56223,0.45763,1.76886,1.25538,0.00769,0.00769,0.00769
9,5858.02,0.11954,0.5608,0.89576,0.46184,0.89078,0.74209,0.46663,0.72828,2.73931,1.36744,0.00736,0.00736,0.00736
10,6354.09,0.11439,0.53354,0.89509,0.46788,0.90757,0.75965,0.53938,0.56171,2.63591,1.2704,0.00703,0.00703,0.00703
11,6836.01,0.11009,0.51178,0.89465,0.50852,0.91289,0.77189,0.54744,0.5547,2.34866,1.26398,0.0067,0.0067,0.0067
12,7322.94,0.10716,0.4967,0.89402,0.41751,0.90142,0.67542,0.36877,0.90064,3.47199,1.39668,0.00637,0.00637,0.00637
13,7771.61,0.10355,0.4756,0.89373,0.41324,0.90919,0.69112,0.35526,1.03734,3.80429,1.47358,0.00604,0.00604,0.00604
14,8251.32,0.10008,0.46256,0.89271,0.40567,0.90958,0.66725,0.33119,1.07941,3.93446,1.50911,0.00571,0.00571,0.00571
15,8772.06,0.09798,0.44551,0.89206,0.40649,0.91941,0.68747,0.36586,0.98348,3.77918,1.48414,0.00538,0.00538,0.00538
16,9275.85,0.09461,0.43194,0.89187,0.42144,0.92335,0.70261,0.41469,0.85079,3.38713,1.42996,0.00505,0.00505,0.00505
17,9801.88,0.0926,0.4195,0.89158,0.43018,0.92104,0.69773,0.41245,0.84355,3.29029,1.42443,0.00472,0.00472,0.00472
18,10232.3,0.08946,0.40703,0.89116,0.41768,0.91824,0.67831,0.38514,0.88469,3.40894,1.43269,0.00439,0.00439,0.00439
19,10643.1,inf,0.39473,0.8903,0.41217,0.91974,0.66307,0.37447,0.89344,3.41046,1.43487,0.00406,0.00406,0.00406
20,11084.9,0.08493,0.38311,0.88979,0.41168,0.91999,0.65556,0.37806,0.85187,3.29515,1.41249,0.00373,0.00373,0.00373
21,11684.6,0.06389,0.16663,0.90515,0.43772,0.92465,0.66216,0.40815,0.72883,2.83449,1.36779,0.0034,0.0034,0.0034
22,12186.9,0.05744,0.14373,0.90401,0.53334,0.93561,0.72679,0.49298,0.56134,2.22163,1.31725,0.00307,0.00307,0.00307
23,12663.5,0.05267,0.1283,0.90205,0.67052,0.94975,0.80733,0.60814,0.47418,1.83733,1.29292,0.00274,0.00274,0.00274
24,13139.2,0.04953,0.11447,0.90204,0.70539,0.95432,0.84958,0.66653,0.42155,1.68204,1.28089,0.00241,0.00241,0.00241
25,13617,0.0468,0.10262,0.90193,0.70785,0.95296,0.88368,0.69143,0.3947,1.63376,1.27755,0.00208,0.00208,0.00208
26,14089.5,0.04373,0.09151,0.90226,0.70302,0.9559,0.89044,0.70046,0.37885,1.62152,1.28048,0.00175,0.00175,0.00175
27,14575.6,0.04144,0.08035,0.90091,0.69928,0.95886,0.86948,0.70246,0.38343,1.60958,1.29023,0.00142,0.00142,0.00142
28,15064.3,0.03828,0.07217,0.90131,0.70996,0.96297,0.87443,0.7299,0.38479,1.49368,1.29698,0.00109,0.00109,0.00109
29,15538.2,0.03538,0.06064,0.90016,0.75842,0.96507,0.92068,0.77666,0.39227,1.32809,1.31123,0.00076,0.00076,0.00076
30,16002.6,0.03279,0.05288,0.89868,0.79952,0.96687,0.94594,0.80129,0.40052,1.25227,1.33046,0.00043,0.00043,0.00043
